fold,analyzer,n_components,component,explained_variance_ratio,cumulative_explained_variance_ratio,vocabulary_size
3,word,10,description_svd_06,0.011870637336064931,0.10454221035796503,5000
3,word,10,description_svd_07,0.010526616882175648,0.11506882724014067,5000
3,word,10,description_svd_08,0.009128577866603909,0.12419740510674458,5000
3,word,10,description_svd_09,0.00861259901062162,0.1328100041173662,5000
3,word,10,description_svd_10,0.008104812475155408,0.1409148165925216,5000
3,word,20,description_svd_01,0.010689956090977296,0.010689956090977296,5000
3,word,20,description_svd_02,0.03871486073421015,0.04940481682518744,5000
3,word,20,description_svd_03,0.01578001608528088,0.06518483291046832,5000
3,word,20,description_svd_04,0.014716393518673439,0.07990122642914177,5000
3,word,20,description_svd_05,0.012770565063556876,0.09267179149269865,5000
3,word,20,description_svd_06,0.011871068468848417,0.10454285996154707,5000
3,word,20,description_svd_07,0.010526967108279404,0.11506982706982646,5000
3,word,20,description_svd_08,0.009130688330904696,0.12420051540073115,5000
3,word,20,description_svd_09,0.008623324262036092,0.13282383966276726,5000
3,word,20,description_svd_10,0.00811068773966942,0.14093452740243667,5000
3,word,20,description_svd_11,0.0072305201098318015,0.14816504751226847,5000
3,word,20,description_svd_12,0.0069339803011944775,0.15509902781346294,5000
3,word,20,description_svd_13,0.006532568548509951,0.16163159636197288,5000
3,word,20,description_svd_14,0.006349585944424531,0.16798118230639741,5000
3,word,20,description_svd_15,0.0061564237275996275,0.17413760603399703,5000
3,word,20,description_svd_16,0.005519048197853807,0.17965665423185084,5000
3,word,20,description_svd_17,0.0053659261317358445,0.18502258036358668,5000
3,word,20,description_svd_18,0.005133821678388661,0.19015640204197534,5000
3,word,20,description_svd_19,0.005013756807017465,0.1951701588489928,5000
3,word,20,description_svd_20,0.004742204704949187,0.19991236355394199,5000
3,word,30,description_svd_01,0.010689956208576538,0.010689956208576538,5000
3,word,30,description_svd_02,0.03871486043702339,0.04940481664559993,5000
3,word,30,description_svd_03,0.015779997700850285,0.06518481434645021,5000
3,word,30,description_svd_04,0.01471639164169069,0.0799012059881409,5000
3,word,30,description_svd_05,0.01277057390304354,0.09267177989118444,5000
3,word,30,description_svd_06,0.011871085125014398,0.10454286501619883,5000
3,word,30,description_svd_07,0.01052704458241558,0.1150699095986144,5000
3,word,30,description_svd_08,0.009130839991446827,0.12420074959006124,5000
3,word,30,description_svd_09,0.008624084570840844,0.13282483416090207,5000
3,word,30,description_svd_10,0.008111377865034604,0.14093621202593667,5000
