row_index,listing_id,repeat_group_id,repeat_level,group_size,level1_match_group_id,level2_match_group_id
1171,103796707,RG_0097,Level 2 - strong repeat,3,,L2_0010
1172,103796697,RG_0097,Level 2 - strong repeat,3,,L2_0010
1173,103796684,RG_0097,Level 2 - strong repeat,3,,L2_0010
1179,103527484,RG_0053,Level 3 - possible repeat,2,,
1180,103072253,RG_0082,Level 3 - possible repeat,2,,
1186,103796665,RG_0060,Level 3 - possible repeat,2,,
1200,103223072,RG_0095,Level 1 - exact duplicate,2,L1_0006,L2_0008
1201,103470201,RG_0096,Level 1 - exact duplicate,2,L1_0007,L2_0009
1219,102272734,RG_0088,Level 3 - possible repeat,2,,
1220,100184788,RG_0084,Level 3 - possible repeat,2,,
1227,103796349,RG_0098,Level 3 - possible repeat,2,,
1231,101325789,RG_0081,Level 3 - possible repeat,2,,
1244,100249876,RG_0090,Level 3 - possible repeat,2,,
1254,103796162,RG_0029,Level 1 - exact duplicate,3,L1_0001,L2_0003
1275,103795950,RG_0099,Level 3 - possible repeat,2,,
1276,103308799,RG_0055,Level 3 - possible repeat,2,,
1277,103795930,RG_0005,Level 3 - possible repeat,3,,
1278,103245620,RG_0100,Level 3 - possible repeat,2,,
1280,102907672,RG_0086,Level 3 - possible repeat,2,,
1282,103795891,RG_0101,Level 3 - possible repeat,3,,
1286,103795802,RG_0102,Level 3 - possible repeat,2,,
1292,103795699,RG_0103,Level 3 - possible repeat,2,,
1294,103449900,RG_0050,Level 3 - possible repeat,2,,
1313,103795360,RG_0104,Level 1 - exact duplicate,2,L1_0008,L2_0011
1322,103795288,RG_0104,Level 1 - exact duplicate,2,L1_0008,L2_0011
1328,103350530,RG_0031,Level 3 - possible repeat,4,,
1332,103795120,RG_0062,Level 3 - possible repeat,2,,
1343,102621739,RG_0105,Level 3 - possible repeat,2,,
1344,103794979,RG_0106,Level 3 - possible repeat,2,,
1364,101837463,RG_0033,Level 3 - possible repeat,2,,
1378,103794505,RG_0107,Level 3 - possible repeat,2,,
1383,103794442,RG_0108,Level 3 - possible repeat,2,,
1385,103794493,RG_0109,Level 3 - possible repeat,2,,
1386,103794636,RG_0110,Level 3 - possible repeat,2,,
1397,103653397,RG_0111,Level 3 - possible repeat,2,,
1402,102762016,RG_0112,Level 3 - possible repeat,2,,
1416,102820397,RG_0048,Level 3 - possible repeat,3,,
1420,103653187,RG_0113,Level 3 - possible repeat,2,,
1427,103204071,RG_0112,Level 3 - possible repeat,2,,
1428,103793977,RG_0114,Level 3 - possible repeat,2,,
1439,102820169,RG_0115,Level 3 - possible repeat,2,,
1442,100511965,RG_0116,Level 3 - possible repeat,2,,
1453,103793700,RG_0117,Level 3 - possible repeat,2,,
1464,102880636,RG_0118,Level 3 - possible repeat,2,,
1471,102894373,RG_0048,Level 3 - possible repeat,3,,
1475,102881313,RG_0111,Level 3 - possible repeat,2,,
1476,101960423,RG_0119,Level 1 - exact duplicate,2,L1_0009,L2_0012
1477,102820450,RG_0120,Level 3 - possible repeat,2,,
1480,102159640,RG_0100,Level 3 - possible repeat,2,,
1484,102199142,RG_0121,Level 3 - possible repeat,2,,
1486,103714789,RG_0122,Level 3 - possible repeat,3,,
1487,103356674,RG_0123,Level 3 - possible repeat,3,,
1488,103301164,RG_0124,Level 3 - possible repeat,3,,
1492,103793643,RG_0074,Level 3 - possible repeat,3,,
1496,102904007,RG_0119,Level 1 - exact duplicate,2,L1_0009,L2_0012
1499,103435132,RG_0120,Level 3 - possible repeat,2,,
1502,101763640,RG_0010,Level 3 - possible repeat,4,,
1504,102717845,RG_0118,Level 3 - possible repeat,2,,
1513,102906287,RG_0073,Level 3 - possible repeat,2,,
1523,102593827,RG_0125,Level 3 - possible repeat,3,,
1524,102500912,RG_0125,Level 2 - strong repeat,3,,L2_0013
1530,103793327,RG_0126,Level 3 - possible repeat,2,,
1545,103752445,RG_0127,Level 3 - possible repeat,2,,
1549,103452017,RG_0128,Level 3 - possible repeat,3,,
1550,103452015,RG_0129,Level 3 - possible repeat,3,,
1557,103792843,RG_0076,Level 3 - possible repeat,2,,
1559,103551709,RG_0056,Level 3 - possible repeat,2,,
1562,103485601,RG_0125,Level 2 - strong repeat,3,,L2_0013
1576,103792969,RG_0130,Level 3 - possible repeat,2,,
1577,103792968,RG_0109,Level 3 - possible repeat,2,,
1593,103792452,RG_0102,Level 3 - possible repeat,2,,
1596,102903047,RG_0131,Level 3 - possible repeat,2,,
1603,103792686,RG_0132,Level 3 - possible repeat,2,,
1616,102883748,RG_0133,Level 3 - possible repeat,2,,
1639,102879544,RG_0134,Level 3 - possible repeat,2,,
1643,103792363,RG_0008,Level 3 - possible repeat,3,,
1645,103792329,RG_0074,Level 3 - possible repeat,3,,
1654,103190909,RG_0135,Level 3 - possible repeat,2,,
1657,103792141,RG_0015,Level 3 - possible repeat,2,,
1658,103792137,RG_0127,Level 3 - possible repeat,2,,
1699,103792131,RG_0117,Level 3 - possible repeat,2,,
1702,103792002,RG_0136,Level 1 - exact duplicate,2,L1_0010,L2_0014
1717,103792067,RG_0001,Level 3 - possible repeat,2,,
1721,103479235,RG_0137,Level 3 - possible repeat,2,,
1726,103792046,RG_0064,Level 3 - possible repeat,2,,
1741,103791934,RG_0029,Level 3 - possible repeat,3,,
1743,103791779,RG_0098,Level 3 - possible repeat,2,,
1745,103791776,RG_0116,Level 3 - possible repeat,2,,
1789,103791652,RG_0063,Level 3 - possible repeat,2,,
1822,102988049,RG_0138,Level 3 - possible repeat,2,,
1824,103791160,RG_0136,Level 1 - exact duplicate,2,L1_0010,L2_0014
1830,103791296,RG_0079,Level 3 - possible repeat,2,,
1833,102900624,RG_0139,Level 3 - possible repeat,2,,
1846,101645678,RG_0140,Level 3 - possible repeat,2,,
1848,101645434,RG_0140,Level 3 - possible repeat,2,,
1849,101984721,RG_0139,Level 3 - possible repeat,2,,
1879,103245262,RG_0141,Level 1 - exact duplicate,2,L1_0011,L2_0015
1880,103245254,RG_0141,Level 1 - exact duplicate,2,L1_0011,L2_0015
1882,103790238,RG_0142,Level 3 - possible repeat,2,,
1888,103758671,RG_0143,Level 1 - exact duplicate,3,L1_0012,L2_0016
1893,103790119,RG_0142,Level 3 - possible repeat,2,,
