Experiment_Type,Model,Trim_Level,Removal_Percent,Fold,Training_Rows_Before,Training_Rows_Removed,Training_Rows_Retained,Actual_Removal_Pct,Training_Derived_Cutoff_RM,Maximum_Retained_Training_Price_RM,Validation_Rows,Validation_Rows_Removed,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM
training_only,LightGBM + Position Features,D,2.5,1,3034,76,2958,2.5049439683586026,1202309.9999999965,1200000.0,757,0,140540.81369420904,64710.56799307928,0.8089547380994314,0.7962902425996758,33722.48382948851
training_only,LightGBM + Position Features,D,2.5,2,3036,73,2963,2.404479578392622,1200000.0,1200000.0,755,0,157505.55092141344,65879.3840482844,0.8306432466174516,0.8193847354307758,31622.149643370183
training_only,LightGBM + Position Features,D,2.5,3,3032,75,2957,2.4736147757255935,1200000.0,1200000.0,759,0,136723.2238839099,60669.79720638995,0.7652680683854729,0.7497513302899979,32918.436755827046
training_only,LightGBM + Position Features,D,2.5,4,3029,76,2953,2.5090789039286894,1192999.9999999972,1190000.0,762,0,134707.46568897407,66498.75420592101,0.8363141324160722,0.8255392923930406,34951.20557446887
training_only,LightGBM + Position Features,D,2.5,5,3033,72,2961,2.3738872403560833,1200000.0,1200000.0,758,0,153146.8310002194,68793.9163239809,0.7723535789014545,0.7572840270822551,35990.4994840892
training_only,LightGBM + Position Features,E,5.0,1,3034,151,2883,4.976928147659855,920000.0,920000.0,757,0,158495.56521896107,68213.9703459643,0.7570227715881268,0.7409156774620929,33505.8840694438
training_only,LightGBM + Position Features,E,5.0,2,3036,147,2889,4.841897233201581,900000.0,900000.0,755,0,200016.3330633115,74391.78038204405,0.7268874146818283,0.7087314153749625,32343.76014228241
training_only,LightGBM + Position Features,E,5.0,3,3032,151,2881,4.980211081794195,920000.0,920000.0,759,0,155416.42075300246,65172.55150420618,0.6966937233342818,0.6766439413324692,30006.688195916242
training_only,LightGBM + Position Features,E,5.0,4,3029,152,2877,5.018157807857379,905999.9999999991,900000.0,762,0,159927.46556170823,73163.96952482256,0.7692859924404888,0.754098935920465,35103.9771229194
training_only,LightGBM + Position Features,E,5.0,5,3033,147,2886,4.8466864490603365,900000.0,900000.0,758,0,170725.44491581063,73862.00405958714,0.7170945563363195,0.6983670128825266,34118.584811159875
training_only,LightGBM + Position Features,F,10.0,1,3034,292,2742,9.62425840474621,700000.0,700000.0,757,0,190388.7707922144,74841.87170471308,0.6493983111114329,0.6261567322993558,34103.31452556871
training_only,LightGBM + Position Features,F,10.0,2,3036,304,2732,10.013175230566535,698999.5,698000.0,755,0,208425.1374520389,77662.49508620451,0.7034410847393232,0.6837264185197309,33163.52428593562
training_only,LightGBM + Position Features,F,10.0,3,3032,293,2739,9.66358839050132,700000.0,700000.0,759,0,168396.9037099483,69609.87734999297,0.6439132648311663,0.6203744792433531,31499.49824675318
training_only,LightGBM + Position Features,F,10.0,4,3029,298,2731,9.838230439088807,690000.0,690000.0,762,0,175024.2832944642,79003.85856962268,0.7236722700809022,0.7054826295960316,35033.739817566384
training_only,LightGBM + Position Features,F,10.0,5,3033,303,2730,9.990108803165183,695000.0,695000.0,758,0,190460.49731905633,80062.75855972948,0.647909241666673,0.6246018252699597,34054.888972601475
training_only,Random Forest,A,0.0,1,3034,0,3034,0.0,,6016000.0,757,0,112651.09538197004,61202.71777161887,0.8772554601968545,0.8718302871668813,34995.71384536545
training_only,Random Forest,A,0.0,2,3036,0,3036,0.0,,5000000.0,755,0,127988.3738377288,60474.434449573026,0.8881716714761888,0.8832152912646072,30884.934643001354
training_only,Random Forest,A,0.0,3,3032,0,3032,0.0,,6016000.0,759,0,137348.08213001606,59409.69950225371,0.7631176019586653,0.7526765045243364,30121.118217568262
training_only,Random Forest,A,0.0,4,3029,0,3029,0.0,,6016000.0,762,0,118313.27938770752,65114.89974124584,0.8737315533537011,0.8681889054899404,35050.83311731016
training_only,Random Forest,A,0.0,5,3033,0,3033,0.0,,6016000.0,758,0,127823.35132766048,60952.25966230884,0.8414138712612652,0.8344142076479694,32856.17139162014
training_only,Random Forest,B,0.5,1,3034,16,3018,0.5273566249176005,2266800.000000003,2200000.0,757,0,128321.7631697879,62893.514265431804,0.8407307333012092,0.8336912077012626,35800.516413838835
training_only,Random Forest,B,0.5,2,3036,16,3020,0.5270092226613966,2241249.824999991,2199999.0,755,0,138061.1730151849,62389.58841445551,0.8698770473811793,0.8641098251044449,31226.14505740028
training_only,Random Forest,B,0.5,3,3032,16,3016,0.5277044854881267,2242249.99999999,2200000.0,759,0,139185.49195658244,60936.4827402384,0.7567372961740163,0.7460149731403641,32296.824426009727
training_only,Random Forest,B,0.5,4,3029,13,3016,0.4291845493562232,2300000.0,2300000.0,762,0,111374.59918979496,62705.99866182817,0.8881077101671302,0.8831961144543019,35417.01249069374
training_only,Random Forest,B,0.5,5,3033,16,3017,0.5275304978569073,2296800.000000003,2280000.0,758,0,128483.08357731435,60687.55710312016,0.8397726315297974,0.832700526990423,33318.30953414843
training_only,Random Forest,C,1.0,1,3034,31,3003,1.0217534607778511,1693400.0000000014,1680000.0,757,0,137779.27266555262,64674.88823493009,0.8163888209081701,0.808273409677592,34704.90045934857
