Model,Trim_Level,Removal_Percent,listing_id,scenario_b_fold,actual_price_RM,predicted_price_RM
Gradient Boosting,2.5%,2.5,97951226,5,448500.0,629323.1116880142
Gradient Boosting,2.5%,2.5,102133095,5,228000.0,268153.88907655654
Gradient Boosting,2.5%,2.5,103781156,3,228000.0,277663.2021223019
Gradient Boosting,2.5%,2.5,102853274,2,379000.0,401371.7623197957
Gradient Boosting,2.5%,2.5,103781145,5,189000.0,217969.67618552083
Gradient Boosting,2.5%,2.5,103781123,5,320000.0,396591.4627216775
Gradient Boosting,2.5%,2.5,101493192,5,350000.0,464344.90420751733
Gradient Boosting,2.5%,2.5,101708995,2,570000.0,467013.3662698353
Gradient Boosting,2.5%,2.5,102780662,1,210000.0,190160.89274183873
Gradient Boosting,2.5%,2.5,102985830,1,245000.0,225289.59467774874
Gradient Boosting,2.5%,2.5,103399025,1,610000.0,595955.9789459313
Gradient Boosting,2.5%,2.5,103781102,4,438000.0,367486.37662384287
Gradient Boosting,2.5%,2.5,102495466,5,260000.0,253673.19730387977
Gradient Boosting,2.5%,2.5,103548511,1,365000.0,347696.4775016359
Gradient Boosting,2.5%,2.5,103448720,2,198000.0,134951.61827673728
Gradient Boosting,2.5%,2.5,103445903,1,299999.0,284551.4044845036
Gradient Boosting,2.5%,2.5,102618040,4,180000.0,278379.3862074209
Gradient Boosting,2.5%,2.5,102690314,4,245000.0,256434.92447820483
Gradient Boosting,2.5%,2.5,103620874,3,210000.0,233786.95382943196
Gradient Boosting,2.5%,2.5,102690849,5,330000.0,383126.40327597415
Gradient Boosting,2.5%,2.5,102466432,5,263000.0,249935.63234193277
Gradient Boosting,2.5%,2.5,101595910,5,330000.0,390922.28468262707
Gradient Boosting,2.5%,2.5,102466923,3,448000.0,399606.7336320385
Gradient Boosting,2.5%,2.5,100544483,2,790000.0,825567.8246443891
Gradient Boosting,2.5%,2.5,103316534,1,345000.0,377527.5169765303
Gradient Boosting,2.5%,2.5,102363666,1,675000.0,646042.4510320242
Gradient Boosting,2.5%,2.5,99917566,3,930000.0,844400.4885811397
Gradient Boosting,2.5%,2.5,103135314,4,380000.0,354707.30720183114
Gradient Boosting,2.5%,2.5,103729295,2,199990.0,196307.26400025835
Gradient Boosting,2.5%,2.5,103613783,4,199900.0,248859.8578253249
Gradient Boosting,2.5%,2.5,103248949,5,99000.0,176590.59488314335
Gradient Boosting,2.5%,2.5,103780869,5,330000.0,375862.9649061765
Gradient Boosting,2.5%,2.5,103780867,5,230000.0,244938.53253450588
Gradient Boosting,2.5%,2.5,103237242,1,338000.0,309493.44201846374
Gradient Boosting,2.5%,2.5,101009211,1,145000.0,183297.66232098697
Gradient Boosting,2.5%,2.5,103587397,5,163000.0,133248.60608795917
Gradient Boosting,2.5%,2.5,101765449,3,315000.0,303216.84997685347
Gradient Boosting,2.5%,2.5,100074568,1,355000.0,348909.21759976726
Gradient Boosting,2.5%,2.5,103601587,4,698000.0,648898.7129729398
Gradient Boosting,2.5%,2.5,103601623,5,480000.0,490290.0336720489
Gradient Boosting,2.5%,2.5,102707617,4,510000.0,468212.06155635044
Gradient Boosting,2.5%,2.5,103780998,4,680000.0,575900.119568274
Gradient Boosting,2.5%,2.5,103780990,3,345000.0,265408.85785426956
Gradient Boosting,2.5%,2.5,103780853,3,295000.0,278671.7589183323
Gradient Boosting,2.5%,2.5,103780852,3,608000.0,553647.0840188041
Gradient Boosting,2.5%,2.5,103780817,4,390000.0,262929.9737359329
Gradient Boosting,2.5%,2.5,94052167,5,468000.0,433234.77296250116
Gradient Boosting,2.5%,2.5,99227929,1,168000.0,219690.88017022182
Gradient Boosting,2.5%,2.5,103537247,1,380000.0,437568.98328333034
Gradient Boosting,2.5%,2.5,103435348,3,450000.0,439051.51695129776
Gradient Boosting,2.5%,2.5,103780946,5,318000.0,317900.5423518702
Gradient Boosting,2.5%,2.5,102968657,2,221000.0,240703.1957559808
Gradient Boosting,2.5%,2.5,100917956,1,398000.0,381001.1068570191
Gradient Boosting,2.5%,2.5,102130431,3,255000.0,255020.56028000786
Gradient Boosting,2.5%,2.5,103780747,2,738000.0,812273.0242235727
Gradient Boosting,2.5%,2.5,103780745,2,389000.0,383901.2625259441
Gradient Boosting,2.5%,2.5,102800883,3,200000.0,272169.6852546
Gradient Boosting,2.5%,2.5,102800881,4,205000.0,238936.31621325936
Gradient Boosting,2.5%,2.5,102783576,4,400000.0,421249.4614993328
Gradient Boosting,2.5%,2.5,101161152,1,185000.0,206601.89046654475
Gradient Boosting,2.5%,2.5,103780775,1,260000.0,294049.74631523195
Gradient Boosting,2.5%,2.5,103780764,5,410000.0,479728.91829888517
Gradient Boosting,2.5%,2.5,103780754,2,330000.0,335429.8931596095
Gradient Boosting,2.5%,2.5,102800878,4,265000.0,213245.37546053407
Gradient Boosting,2.5%,2.5,103433942,4,280000.0,383268.4876057094
Gradient Boosting,2.5%,2.5,100326762,1,378000.0,420374.784456494
Gradient Boosting,2.5%,2.5,96031773,4,448500.0,732543.4738947374
Gradient Boosting,2.5%,2.5,101355322,4,450000.0,533294.4986146777
Gradient Boosting,2.5%,2.5,102033510,2,650000.0,518134.89491692255
Gradient Boosting,2.5%,2.5,100911351,5,350000.0,486699.5998786429
Gradient Boosting,2.5%,2.5,103495723,2,528000.0,542763.3845083435
Gradient Boosting,2.5%,2.5,103495353,3,550000.0,582869.8904135128
Gradient Boosting,2.5%,2.5,103780880,4,280000.0,278795.6991518793
Gradient Boosting,2.5%,2.5,103496485,1,530000.0,619184.908557858
Gradient Boosting,2.5%,2.5,103711355,1,495000.0,578116.1910730691
Gradient Boosting,2.5%,2.5,103710996,1,600000.0,600855.6174606398
Gradient Boosting,2.5%,2.5,103780877,4,350000.0,342281.65500609746
Gradient Boosting,2.5%,2.5,100750230,4,440000.0,402008.4471140843
Gradient Boosting,2.5%,2.5,103045965,1,460000.0,530128.2876134526
Gradient Boosting,2.5%,2.5,102495385,3,313000.0,323911.45701387624
Gradient Boosting,2.5%,2.5,103128001,1,108000.0,177558.61923666604
Gradient Boosting,2.5%,2.5,102495064,2,145000.0,178460.59919021488
Gradient Boosting,2.5%,2.5,101672210,4,290000.0,275850.2975773189
Gradient Boosting,2.5%,2.5,102693173,1,200000.0,244952.73570502884
Gradient Boosting,2.5%,2.5,102691019,4,200000.0,234998.81269847974
Gradient Boosting,2.5%,2.5,102725874,3,160000.0,245958.12914419064
Gradient Boosting,2.5%,2.5,102583375,2,240000.0,257187.78654010454
Gradient Boosting,2.5%,2.5,102690981,5,270000.0,236967.58498737728
Gradient Boosting,2.5%,2.5,102690822,3,235000.0,221858.95317444604
Gradient Boosting,2.5%,2.5,102452772,3,230000.0,272560.1106818642
Gradient Boosting,2.5%,2.5,103675662,2,450000.0,439094.80816508934
Gradient Boosting,2.5%,2.5,103449275,2,750000.0,737639.3142898949
Gradient Boosting,2.5%,2.5,101431798,5,378000.0,417056.31235391134
Gradient Boosting,2.5%,2.5,101122065,2,480000.0,502396.3513202493
Gradient Boosting,2.5%,2.5,103283797,3,480000.0,484684.04302103823
Gradient Boosting,2.5%,2.5,103175932,4,255000.0,247598.20091367877
Gradient Boosting,2.5%,2.5,101256806,1,835000.0,967150.5454677616
Gradient Boosting,2.5%,2.5,100790079,1,390000.0,315844.0562526839
Gradient Boosting,2.5%,2.5,96905594,2,815000.0,618417.5128438119
Gradient Boosting,2.5%,2.5,103659913,2,170000.0,179961.49715672625
Gradient Boosting,2.5%,2.5,101688647,1,780000.0,776314.7539338301
Gradient Boosting,2.5%,2.5,101897522,4,825000.0,789222.6987004082
Gradient Boosting,2.5%,2.5,99934617,1,415000.0,400800.8851460582
Gradient Boosting,2.5%,2.5,103403509,4,420000.0,442412.08692397067
Gradient Boosting,2.5%,2.5,103159221,1,360000.0,355612.0362141076
Gradient Boosting,2.5%,2.5,101239305,3,310000.0,323499.3894681776
Gradient Boosting,2.5%,2.5,99889965,4,305000.0,228727.44720230458
Gradient Boosting,2.5%,2.5,102221420,4,580000.0,490799.84818467614
Gradient Boosting,2.5%,2.5,103616195,5,164000.0,194560.90776552528
Gradient Boosting,2.5%,2.5,102457330,3,165000.0,173469.4189232274
Gradient Boosting,2.5%,2.5,102783562,4,360000.0,373972.4037599708
Gradient Boosting,2.5%,2.5,102800899,3,440000.0,472949.7112280184
Gradient Boosting,2.5%,2.5,103780759,1,389000.0,333548.0703813969
Gradient Boosting,2.5%,2.5,101777096,2,488000.0,488035.8611645687
Gradient Boosting,2.5%,2.5,100629227,1,430000.0,358717.92666228453
Gradient Boosting,2.5%,2.5,96019514,1,850000.0,886569.3918625768
Gradient Boosting,2.5%,2.5,90554495,3,630000.0,626225.8032623555
Gradient Boosting,2.5%,2.5,102708899,1,630000.0,609418.991686036
Gradient Boosting,2.5%,2.5,102612574,4,1177000.0,978223.5366476761
Gradient Boosting,2.5%,2.5,102584887,1,170000.0,191588.07707020684
Gradient Boosting,2.5%,2.5,103780709,2,550000.0,602867.2828665624
Gradient Boosting,2.5%,2.5,103463427,3,218000.0,252150.65022428153
Gradient Boosting,2.5%,2.5,103720193,2,208000.0,262774.51050527464
Gradient Boosting,2.5%,2.5,102074388,5,430000.0,380231.21873032773
Gradient Boosting,2.5%,2.5,102887270,3,110000.0,210424.12619317265
