Model,Candidate_ID,Parameters_JSON,CV_RMSE_RM,CV_MAE_RM,CV_R2,CV_Adjusted_R2,Candidate_Rank,Selected
Gradient Boosting,40,"{""learning_rate"": 0.1, ""loss"": ""huber"", ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.7}",129744.39936309664,62213.54321500169,0.8451335218103525,0.8438148077863853,34,False
Gradient Boosting,52,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.8}",130012.57940940264,64427.74821625286,0.8444926460167087,0.8431684748279207,35,False
Gradient Boosting,21,"{""learning_rate"": 0.1, ""loss"": ""huber"", ""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.7}",130073.92825261586,65108.95530966889,0.8443458533420227,0.8430204321890011,36,False
Gradient Boosting,5,"{""learning_rate"": 0.02, ""loss"": ""squared_error"", ""max_depth"": 6, ""max_features"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 0.8}",130652.71237065233,67340.77221196052,0.8429575569439932,0.8416203142144051,37,False
Gradient Boosting,36,"{""learning_rate"": 0.02, ""loss"": ""huber"", ""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 1.0}",131340.8457542679,67095.30337688008,0.8412989502152326,0.8399475841712963,38,False
Gradient Boosting,15,"{""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 1.0}",131943.67242798576,70463.051116462,0.839838798559404,0.8384749990793351,39,False
Gradient Boosting,44,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""max_features"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 1.0}",131952.0410660711,67133.94351392005,0.8398184811980434,0.8384545087122364,40,False
Gradient Boosting,31,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 1.0}",132228.37414330308,68924.25673553073,0.8391468765792737,0.8377771852675484,41,False
Gradient Boosting,34,"{""learning_rate"": 0.02, ""loss"": ""squared_error"", ""max_depth"": 4, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 0.9}",132907.03041769384,70687.21569768332,0.8374914963051969,0.8361077091529261,42,False
Gradient Boosting,24,"{""learning_rate"": 0.02, ""loss"": ""squared_error"", ""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",132938.81762176997,70989.08124088624,0.8374137531084578,0.8360293039598337,43,False
Gradient Boosting,9,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 1.0}",132950.71796224953,69815.81873429388,0.8373846432016525,0.8359999461772919,44,False
